0,1,2
#100d0f,#3b435e,#ad9e9e
#e4e8ed,#9a9ea8,#4c535d
#e0dfe2,#202c38,#6e7377
#ead1a0,#874933,#120b09
#5e91d1,#afd1f0,#1b49a1
#1e101c,#dd0612,#fa682a
#191a20,#5e5b5d,#c1af8e
#7d7a5d,#cabbac,#1b4125
#6f656d,#bdbebf,#292f3e
#0e1218,#456770,#afc8ca
#0d0c10,#83505e,#bed1d5
#1b1018,#436c84,#a9c2d2
#a29e99,#d9d7d2,#222224
#5a4b26,#a99057,#1b190a
#787267,#c7bfaa,#2a2a2a
#646877,#130b12,#cddfe8
#654b31,#171612,#bb9355
#15181f,#426268,#afb9b4
#20211b,#bca878,#665940
#e1ddde,#675c5f,#131014
#5b5f5c,#b4c4cc,#0a0b0a
#573e52,#a1a8b3,#1c0f1b
#21201e,#6c6862,#bcbcbc
#0c0d08,#56422c,#ae8a66
#a5ab93,#1c1b1a,#39759b
#483d34,#898278,#140d0c
#3b3a38,#9b8879,#d4dada
#cfd1d6,#1a1519,#6a656a
#141618,#b5c0c7,#5c686f
#6e97ad,#26465f,#0b1a29
#040404,#d9d9d9,#696969
#1e0a0b,#91291f,#db8e47
#675547,#141819,#dda876
#83735e,#c9d1cd,#353626
#bfcccc,#456063,#041113
#a9826c,#acd0e0,#45536f
#5696b1,#c6c196,#c79a5d
#c3c1b4,#212121,#6e655a
#3a3725,#cecfbe,#827d5e
#9fb9c4,#2b1d22,#845860
#062f3f,#a2d6db,#1d7d8f
#1f3c54,#b83740,#689fb5
#9cb2b6,#456263,#08100d
#3256a2,#292740,#82b4d2
#715f4c,#1b120e,#c8bfad
#19191a,#737473,#d2d2cd
#0b0c0e,#9da0a3,#514d4f
#c9bb8d,#6c6461,#1f1d1e
#bec7ce,#6a798a,#192126
#1d1d13,#adaf93,#5b5c48
#625450,#080707,#bea491
#ece9e6,#33261f,#947e6f
#b7b9b2,#14171b,#5c6168
#171113,#aeaca3,#625349
#855529,#1f130b,#dbab70
#9ad231,#035f81,#002038
#262b32,#486973,#8dbcc1
#2b102b,#a7463f,#c3a19d
#0c1e41,#1c76ae,#a7d3e7
#f8f1e4,#270909,#c3623a
#91c7bf,#ba9e92,#41352a
#9dacb5,#216686,#202931
#62564e,#0c1214,#d8a580
#97b2b6,#3a6268,#061b21
#305250,#c6d2c7,#8f7b57
#212731,#babebe,#5e6e79
#c5502a,#608f9b,#0d2736
#977f68,#7ea9ce,#2b3d28
#243f72,#9f8a69,#99c6de
#6bb7cb,#51545c,#cbc0a0
#2b2e27,#747369,#d9c392
#e3cfaa,#160b09,#bb703d
#310e06,#e28b34,#903010
#a6b498,#32201f,#6d6b60
#c1d0d9,#947a64,#422b18
#c1c0bc,#181919,#757476
#416da2,#34373f,#aab5ba
#3b465c,#7d9ab4,#070812
#bdc687,#5e77bf,#2d2551
#515537,#beac6d,#0b1411
#b1aaa2,#4d382f,#080607
#2a3136,#c7ced2,#6c7a83
#030c13,#b5cbd3,#23677e
#242221,#778883,#ccd8c9
#382a31,#9f7f5c,#e1dcbc
#76492a,#1a1512,#c0996c
#1d2224,#cec9c0,#6e736f
#d2e2e3,#633729,#6a8b82
#2d2e40,#ccc7c7,#7b7483
#a6b5c3,#dde3e8,#be272f
#1c3047,#a19792,#c21511
#246189,#9cb1c4,#05233c
#5b4845,#0d0c12,#c6b79a
#0e448f,#91b4cc,#12152b
#08080b,#97a0a7,#4f3c44
#17161f,#b3a5a8,#4d576f
#313e42,#cddcdf,#8d9da2
#1c4a5e,#040e19,#7f9ba9
#171314,#efbfc7,#fb0622
#3f4584,#b4b1a7,#8892cf
#f1ebd3,#1e1a14,#8d7353
#e1c8a4,#77593b,#140f0a
#86b8cf,#517c93,#172d3b
#1f0503,#e59c39,#ae240b
#05100e,#87c9cc,#128a90
#162140,#2a5e94,#7eb9de
#94704c,#dfccac,#3c2d1e
#accee4,#47533c,#9a9a64
#b6482b,#120f10,#726e72
#74472f,#e1a040,#2a1d18
#b3c5c2,#a0775f,#2a3853
#8e876e,#42463b,#121411
0,0,0
#b3a68a,#efebe3,#5c5037
#b7ada3,#100912,#4d4447
#04080c,#a6b5bd,#304a53
#74534d,#b9a096,#281817
#322516,#a18140,#ecdf99
#4d6277,#0c1734,#d2b9c2
#403747,#d9d2cd,#9d8d83
#7c4b24,#24110a,#cda871
#38493b,#70a94c,#c1c155
#2e282e,#736162,#b9b3b1
#080504,#714f3c,#ccc5bc
#85ab94,#3e684b,#07190e
#c9e2f2,#608cb2,#9bc7e3
#0a1110,#586a63,#fbfbfa
#aeb5ab,#14242f,#4d6870
#c18847,#251e1c,#654c35
#070509,#a47580,#2f3946
#6a4f48,#bcada3,#0e0b0a
#920704,#ec6b14,#ece6df
#ece7de,#969895,#323231
#d3d6d2,#22201c,#736f67
#b2a1ad,#131320,#524254
#c6d9cd,#66656e,#96aaac
#030303,#454544,#acacac
#97b2b6,#061b21,#3a6269
#19130f,#f8f8f1,#baa644
#c58619,#4a1d08,#f3c510
#030912,#79bad2,#265972
#d1dae1,#0d0d11,#705c66
#bbc2c1,#2f5466,#7997a4
#275e86,#ada5a7,#09172d
#dce0d5,#7f7b77,#343532
#776963,#2a1f20,#cac4c0
#d8cbc3,#8d5e5b,#222b3c
#6b4521,#c08e3e,#1c140f
#1181bb,#a6d2cd,#363d44
#86cfe7,#190d26,#1268db
#192c3d,#c1d2dc,#52758d
0,0,0
#fbfbfb,#959393,#080808
#537278,#c0d9df,#0c1416
#b5d9da,#7d8667,#1d2d22
#311d0c,#e9ce97,#855228
#0e172c,#4c5773,#bbb9c1
#fbfbfb,#a27069,#332d2c
#b2895a,#67402a,#140b0b
#506b73,#113c45,#a7b5b6
#bca89a,#675249,#100909
#d2792b,#f9eea1,#4c2018
#191a1a,#835f50,#afcdcf
#9b581c,#e1af3f,#32190a
#f2de85,#c77f21,#3e2118
#0d1c1d,#186f88,#c7c33a
#2f2421,#b0251b,#d0cac6
#c1cec8,#4f6258,#070a09
#b7c3c8,#526367,#1b2325
#a96330,#411b21,#e2c37f
#86573a,#c4a985,#161013
#7c6b6a,#362426,#ccbfb5
#e7b648,#eef2f1,#33293a
#4c5a6d,#242632,#8f9aa6
#4a403e,#9f8d85,#0e0c0f
#1a1f3a,#6a687d,#b3b0b6
#9b9688,#090f0e,#343d3f
#877c84,#362b35,#c6c3cb
#f5ddae,#151a27,#8b8a9e
#596783,#c5d0da,#201c2a
#111226,#c6c9c5,#216db3
#a68a60,#9ac8e4,#594733
#050302,#f6f5f5,#ae7e47
#7095ad,#dae6ed,#0b1128
#b2320b,#ca9357,#341c0c
#2a1a25,#445b77,#819bb2
#812210,#d49d6d,#140403
#4a403e,#9f8d85,#0e0c0f
#fbfaf9,#a57191,#3d4274
#b79b82,#4c2c2c,#050102
#400e07,#b45716,#f7d573
#da790d,#572206,#f9d54d
#9f887f,#0d0805,#4b392f
#2e3139,#696e78,#c8cccd
#5a6664,#beb18b,#152025
#050709,#4d5961,#abaeb5
#925932,#1c0c08,#d9b282
#0e0e0e,#81604c,#ccbbab
#222015,#635a3e,#a4997e
#382419,#eae1ce,#968556
#0f1628,#62534e,#d5a97a
#3d455b,#f1c310,#c8c2a7
0,0,0
#17181e,#e6e5e6,#767378
#fb0622,#efbfc6,#171314
#a4724b,#19120f,#513a2e
#dbeaeb,#2f434b,#6d9089
#1a0706,#843013,#db9841
#b9aea3,#4e4949,#180f13
#163232,#4c7e78,#b6c3a9
#7c7177,#1f1619,#bab8bd
#adbcc7,#4e7a9a,#284863
#8bafc5,#26516b,#040a15
#1a140d,#63553a,#bcb091
#1776a4,#d7d7d8,#212129
#deba97,#140d0d,#946348
#42403e,#9c9791,#060605
#4b5059,#16191f,#b2b3ab
#1c252e,#acb3b3,#59675f
#6d7f98,#c4cbd1,#2a3b58
#dc7925,#35130f,#e3dfd9
#0a0a0d,#353539,#847c78
#231e1f,#969697,#b4571c
#c5a18b,#e2c9b9,#89594e
#993c1e,#1e0803,#e9a157
#4c4b4b,#969696,#080808
#f8f7f6,#0c0403,#ab8a88
#d99585,#f7cdbc,#984b48
#45caea,#b2903d,#1f4323
#d3d6d7,#221814,#686867
#7b2e0b,#dda058,#160401
#2a1d2e,#667393,#d6dde6
#1f1718,#7b6062,#dddcdd
#4e3848,#f6f4f4,#ab8d79
#fbf9f7,#0a0604,#ca462a
#172732,#c0c5c8,#5a6b78
#c6b2b0,#090609,#7f513c
#baa28a,#76351e,#090506
#82b6aa,#fbfcfb,#2b5763
#495157,#1b1d1f,#9ca3aa
#b9aeae,#0b080c,#68585b
#6cc9dd,#a98c69,#32322b
#284458,#cbc9b8,#c28030
#837a67,#e9e6de,#1f1f1a
#4b5e79,#b3aca4,#d7dee5
#3f372a,#080c07,#93866e
#030a15,#405f76,#c6d6e0
#161414,#575062,#c5cad2
#d2af67,#936749,#37291b
#c9c7c5,#171418,#616166
#6f4f35,#cba86e,#1d100a
#6e6f70,#c7c5c1,#0e1018
#d9a176,#8d3412,#1b130c
#200d05,#9c4c1a,#d9b08e
#690a0b,#040101,#cc1011
#fcfbfb,#c09f94,#232122
#323c42,#ced6cd,#7c8b89
#cf8348,#865a3e,#302a2e
#38391f,#965946,#a8c4d2
#fbfcfb,#161711,#8a9782
#952923,#220b0b,#c0a182
#9f5445,#e9cdb6,#1f0c0e
#889396,#333737,#931f22
#f0d452,#a18344,#59201b
#a7abb2,#d3d6da,#656a77
#181818,#636160,#c3c3c1
#513940,#5c89af,#c7cbd2
0,0,0
#1a1a1b,#6b665c,#cbc7b6
#e0cdb1,#211108,#926e49
#aaab8e,#716d41,#242419
#a3c0d2,#977c61,#2b2625
#f1daad,#9d5a4b,#201f25
#babfcb,#571113,#225b9d
#010102,#393f4c,#8f99ab
#a5bfd3,#050708,#44627a
#b1b5ae,#ac4523,#eed806
#1959b0,#5ae4ea,#081431
#d6cabc,#8e7163,#302323
#8b7678,#5c0d0b,#ccd1cc
#11100e,#574734,#c7ab7a
#f5f5f7,#4c2715,#b18c7e
#f3efc8,#2d0f0e,#c76825
#8f7c3e,#d8d1b2,#1c1914
#606b76,#0e1115,#2b333b
#b6c2cc,#07080d,#425564
#041318,#bdc0b5,#3f5151
#040509,#8aaabb,#30414d
#13171c,#444a5c,#9cacbb
#1f1c19,#d7c9bb,#776d5e
#eaeaeb,#030303,#504b4d
#201b1b,#806c63,#b9b7b3
#dab893,#54bcd0,#2e2e47
#c1998d,#7c3a29,#fbfafa
#d5d5d7,#797577,#383637
0,0,0
#f4f1f1,#8b5456,#151010
#9eaec0,#cfa974,#5e4156
#d3a243,#6d101b,#fdfdfd
#1b1a16,#889e87,#91361c
#180e0b,#ddba67,#98673b
#09130d,#a4b8a2,#405e4c
#534836,#ded7c5,#ada795
#796b63,#cac5c1,#2b1f21
#bea775,#197991,#161719
#ededec,#5a2d20,#c68a6f
#803f30,#d3b171,#0c0404
#b25524,#e9d8a0,#2d1112
#d7ae61,#14110f,#634f35
#0e0e13,#464850,#c1a390
#0b161e,#0e84b0,#b09b8c
#787686,#1b2537,#c7b4ae
#bd9f7f,#1b150e,#68543d
#3d555e,#a6a488,#151b21
#211511,#78563d,#e3d4ab
#2f2231,#3185ac,#a1827e
#484038,#99938c,#fafafa
#7a8097,#1c2338,#e2e1ec
#6a8085,#223f4b,#b1c2c8
#a5c7c2,#326774,#142132
#5d898d,#0f1c22,#bdd7d3
#1f1913,#b5941e,#6087a4
#dedbd9,#242220,#8c8379
#d4a78e,#f1b608,#463122
#b65c26,#d9c09c,#30251c
#251310,#783524,#d87c3d
#cba96b,#1f2116,#6a5637
#c3bec2,#251b1c,#1986bb
#6eabd0,#dbd0ab,#362e33
#e1cdba,#26241c,#a38064
#ece5d5,#c37d39,#381d1b
#7c6e7c,#dabbb8,#20141c
#b17456,#124ea5,#14070c
#d2c9b8,#96907f,#524b43
#9c9357,#d4d9c4,#27442a
#855238,#c6dae7,#0f6ba9
#485877,#738daf,#232830
#6d5760,#19121c,#d1b8a6
#a3dff1,#242cad,#2d9df0
#bb9869,#7a5b35,#2d2415
#207b64,#06241e,#9dbea8
#5c5241,#13170f,#a4ab9a
#3f6a85,#b2bfc7,#17191e
#dcc337,#879c89,#293524
#58525d,#87808e,#291f25
#020202,#362f27,#725f47
#1b181a,#63695b,#c3c8b6
#d66846,#261710,#6a3828
#e4c697,#150f0e,#9c5d3e
#ab331d,#e5ba8a,#2c0b0a
#886645,#1c1b1a,#c6b372
#be6340,#501e14,#f7af81
#d8dae4,#535177,#17181c
#d02929,#5e5148,#d7d1b8
#b6c4b7,#2a5486,#5abadf
#151830,#ecebef,#955679
#829ca5,#c0cdd2,#475b60
#9c9c7c,#533410,#24bad1
#6f704b,#94c4ce,#090a07
#6fb9d4,#0d171f,#53666c
#5c1c17,#eee8ea,#d6802a
#715447,#d6c5b1,#040302
0,0,0
#260c06,#e5bd8d,#a04a1e
#595f62,#b0b6ba,#101213
#c2bec4,#37262a,#a05e54
#a2b9bb,#4c767a,#182e34
#d1bb9a,#3c2817,#8b6c4d
#1a3962,#42729c,#a0b7c6
#dadfdf,#31292b,#9e7d70
#973536,#ededed,#080606
#8cd1f0,#623f3d,#be867a
#212731,#dfbe43,#90c3dd
#8e9aa2,#010101,#3a3d40
#aab9ae,#0b101a,#374b5b
#161e23,#37637d,#a4b4ba
#f8f8f8,#100e0e,#918586
#181e23,#708285,#d1d4c9
#09101b,#375774,#9ab1c0
0,0,0
#6f6670,#2b2734,#c3bdc1
#656e98,#313747,#a1bbdc
#161511,#c5c1a8,#795145
#d2bba3,#c33129,#56161a
#487fb2,#47282d,#d6a238
#c2daf6,#1a3ed5,#110f27
#e0ba63,#090101,#8d190a
#100905,#d48851,#763123
0,0,0
#c8c6c5,#171418,#616066
#140d0a,#743a2d,#b6a082
#785039,#17090a,#daab74
#7d384b,#24121d,#d79d5b
#c6a572,#090505,#734e33
#533f2c,#af9157,#060705
#8d7353,#1e1a14,#f1ebd3
#463939,#e5d7ce,#a1867a
#c3d9ea,#685257,#6496c4
#696136,#131712,#c3b36e
0,0,0
#1c0707,#e9bd91,#c44e2e
0,0,0
#b1c9ce,#251b1c,#536976
#bad5e9,#0e2b3f,#5a90b7
#08090a,#435256,#8da6aa
#121011,#e2e2e2,#7d7374
#f5f5f4,#9b8485,#1f1919
#c4b399,#1c100e,#815f4c
#f0e7e3,#261915,#a2735d
#4c7391,#bccdd9,#192530
#795a40,#f0efec,#cdb4a0
#a16e65,#faf9fa,#160d0c
#b87a5c,#fbfaf9,#593326
#737384,#d1bab0,#272424
#2c1c20,#d09149,#874537
#e0dfdc,#222221,#b38338
#cbc39c,#84534c,#111214
#f5eadc,#0f100d,#8e7465
#ededed,#847264,#100c0c
#fbfbfa,#b4a49a,#533726
#e8b265,#864b33,#1c1614
#95461d,#ebce87,#250e0a
#be2013,#0b0208,#ebe6de
#d78f5c,#8e2410,#f5ebde
#a31e0e,#591912,#d7c4b8
#290b12,#c4bb93,#963634
#f6f5f0,#623931,#cbac4f
#0d3e3a,#56b0c1,#ab6d43
#52454b,#9c948a,#191721
#eae6e5,#384b66,#cc8f7a
#93594b,#e5c2b0,#48110e
